
<0000> "Eu perdi..."
<0001> "Mesmo eu tendo trapaceado...!"
<0002> "Você realmente devia parar com isso, ou então ninguém vai gostar de você."
<0003> "Tudo foi resolvido pacificamente."
<0004> "Realmente foi uma competição muito bonita."
<0005> "Ah, você estava aqui, Hime?"
<0006> "Mas é claro. Eu recebi uma transmissão estranha de minha linda irmã caçula mais cedo, então estive esperando."
<0007> "Uma transmissão estranha? O que foi dito?"
<0008> "Me disseram que você já estaria voltando. E pelo que eu saiba, aqui está você."
<0009> "O restante da mensagem dizia 'cels_ii'... e 'X7u567'. Talvez você saiba o que significa?"
<0010> "Desculpe, não faço a mínima ideia..."
<0011> "Acho que nós temos que perguntar diretamente a ela. Porém, não a vi neste mundo."
<0012> "Ela está sempre causando problema."
<0013> "Terei uma conversa séria com ela. Enquanto isso, vamos brincar?"
<0014> "O que eu irei fazer contigo... Tudo bem, mas só um pouco."
<0015> "O-hohoho, vamos dançar a noite inteira!"
