
<0000> "O-hoho."
<0001> "Você parece bem animada, Hime."
<0002> "Olhe o quão ótimo o clima está hoje... como poderia ficar parada?"
<0003> "Entendo como você se sente."
<0004> "Sinto como se pudesse dançar o dia inteiro."
<0005> "Nossa."
<0006> "Poppo!"
<0007> "Olha, tem uma criatura misteriosa aqui."
<0008> "Tem mesmo... É uma criança?"
<0009> "Ei! Espere, sua patife!"
<0010> "Agora é um garoto."
<0011> "Poppo!"
<0012> "Oh, você quer dançar também?"
<0013> "Poppopo!"
<0014> "Ei! Antes de ir brincando por aí, que tal me devolver minha carteira antes!?"
<0015> "Sua carteira?"
<0016> "Sim! Todo meu dinheiro está nela!"
<0017> "Em outras palavras, estão brincando de pega-pega?"
<0018> "Você está?"
<0019> "Não!"
<0020> "Poppo!"
<0021> "Pega-pega... Parece bastante divertido."
<0022> "Hime..."
<0023> "Já disse que não estamos!"
<0024> "Estamos sim."
<0025> "Certo então, vamos começar?"
<0026> "Poppo."
<0027> "Foi bem divertido."
<0028> "Suguri é mais rápida do que todos."
<0029> "Poppo perdeu."
<0030> "Droga."
<0031> "Eu já joguei bastante. Acho que vou voltar para casa."
<0032> "Tem certeza? Ainda está bem cedo."
<0033> "Poooh!"
<0034> "Você está planejando passar o dia todo brincando por aí?"
<0035> "Claro que sim, hoje não está um dia ótimo?"
<0036> "Poppo, vem."
<0037> "Eh?"
<0038> "Acho que ela está dizendo para nós seguirmos ela."
<0039> "Pooh."
<0040> "Parece que vai ser bem divertido ir atrás dela..."
<0041> "Poppopo."
<0042> "Ok, vou com você."
<0043> "Ah, espere por mim."
<0044> "Onde nós estamos?"
<0045> "Aqui tem um cheiro ótimo."
<0046> "Poppooh."
<0047> "La la la."
<0048> "O lanche de hoje vai ser pudim!"
<0049> "Poppopo!"
<0050> "Aiii!"
<0051> "O quê!?"
<0052> "Poppopo."
<0053> "Nããão! Meu pudim!"
<0054> "Aquela Poppo está fazendo tudo o que quer."
<0055> "Poppo, Malvada!"
<0056> "Popoppo!"
<0057> "Meu pudim! Me devolva!"
<0058> "Parece que estão se divertindo."
<0059> "Yuki!?"
<0060> "Aquilo é um felino?"
<0061> "Por favor alguém pegue meu pudim de volta!"
<0062> "Primeiro nós precisamos pegar a Poppo."
<0063> "Certo!"
<0064> "Que alívio."
<0065> "Derrota..."
<0066> "Droga..."
<0067> "Poppo perdeu..."
<0068> "Agora, Poppo."
<0069> "Me dê minha carteira."
<0070> "Meu pudim!"
<0071> "Não tão rápido, Poppo!"
<0072> "Ah!"
<0073> "Ela escapou de novo!"
<0074> "Atrás dela."
<0075> "O que é isso agora? Um avião?"
<0076> "Poppo vai pilotar isso!"
<0077> "Se a gente deixar..."
<0078> "Nunca vamos capturá-la!"
<0079> "Poppo."
<0080> "Vrum? Vrum!"
<0081> "Poppo! Não!"
<0082> "Poppopo!"
<0083> "Vruuumm!"
<0084> "O avião está prestes a decolar?"
<0085> "Ei! Meu Barril Vermelho!"
<0086> "Quem é você..."
<0087> "Se preocupe mais com o Barril Vermelho!"
<0088> "Aquele avião é seu?"
<0089> "Sim. Ele é meu parceiro muito importante!"
<0090> "Vamos trazê-la de volta então."
<0091> "Ei, Barril Vermelho! Vou com certeza te derrotar hoje."
<0092> "Corvo Azul! Chegou bem a tempo!"
<0093> "Como assim? O que está acontecendo?"
<0094> "Você deve me ajudar a capturá-la!"
<0095> "Hmm?"
<0096> "Ela ainda está no solo."
<0097> "Outra partida de pega-pega!"
<0098> "Vamos lá!"
<0099> "Consegui!"
<0100> "Barril Vermelho!"
<0101> "E-estou exausto."
<0102> "Capturada."
<0103> "Você não vai a lugar nenhum."
<0104> "Agora! Devolva nossas coisas!"
<0105> "Ok."
<0106> "Barril Vermelho! Graças a deus..."
<0107> "Você está obediente de mais pro meu gosto..."
<0108> "Minha carteira, me devolva."
<0109> "Meu pudim também!"
<0110> "...Não-ppo!"
<0111> "*Corre*"
<0112> "Uh."
<0113> "Ela fugiu!?"
<0114> "De novo não!"
<0115> "Ahhhhhhhhhhhhhhh!!"
<0116> "O quê?"
<0117> "O grande míssil que estava carregado no Barril Vermelho... sumiu."
<0118> "Poppo roubou algo tão perigoso assim!?"
<0119> "Hawawa! Meu pudim está em grandes apuros!"
<0120> "É melhor irmos atrás dela logo!"
<0121> "Esse é um mundo noturno?"
<0122> "Uii, está congelando aqui..."
<0123> "Está até nevando."
<0124> "E-eu realmente quero um agasalho para me aquecer..."
<0125> "Poppopo!"
<0126> "Poppo parece estar bem mesmo com o frio."
<0127> "*Tinindo-tinindo-tinindo*..."
<0128> "Escuto o som de sinos..."
<0129> "Poppopo!"
<0130> "Olhe para cima!"
<0131> "Tem um trenó voando nos céus?"
<0132> "Feliz natal!"
<0133> "Natal!"
<0134> "Pa-Papai Noel e Fernet?"
<0135> "Trouxemos presentes para bons garotos e garotas!"
<0136> "Aceitem com gratidão."
<0137> "O que você está fazendo, Fernet...?"
<0138> "Trabalho voluntário."
<0139> "Não parece ser uma maneira tão natural de se fazer uma introdução."
<0140> "Talvez seja só sua imaginação..."
<0141> "Poppo!"
<0142> "É a Poppo!"
<0143> "Ei, espera! Não tente pegar minha sacola de presentes!"
<0144> "Pooh! Pooh! Pooh!"
<0145> "Pare de puxar senão..."
<0146> "Pare!"
<0147> "Poppii!"
<0148> "Não! A sacola!"
<0149> "*Rasga*!!"
<0150> "Ela se rasgou..."
<0151> "E tudo caiu perto da gente."
<0152> "Ah não... os presentes!"
<0153> "Eu não consigo acreditar nisso..."
<0154> "Poppon."
<0155> "Ah! Poppo pegou alguns!"
<0156> "Não os pegue, por favor!"
<0157> "...Acho que já passamos por isso antes."
<0158> "Pessoal, por favor! Me ajudem a pegar os presentes de volta!"
<0159> "Claro."
<0160> "Nós pegamos quase todos os presentes."
<0161> "Os que faltam estão..."
<0162> "Aquele camundongo está segurando eles."
<0163> "Poppo não é um camundongo!"
<0164> "Não tem mais lugar para correr agora."
<0165> "Pare com as piadas, Baixinha."
<0166> "Poppo está encurralada."
<0167> "Devolva tudo que roubou para seus donos."
<0168> "Poppo..."
<0169> "Se você fizer isso, nós todos vamos te perdoar... tudo bem?"
<0170> "Po..."
<0171> "Poppo..."
<0172> "O quê?"
<0173> "Algo está acontecendo com ela..."
<0174> "Pooooh!!!"
<0175> "O que está acontecendo!?"
<0176> "Isso é..."
<0177> "O-o que aconteceu?"
<0178> "Eu não sei..."
<0179> "A última coisa que eu vi foi a Poppo começando a brilhar."
<0180> "Eu também... E onde nós estamos?"
<0181> "O céu parece estagnado..."
<0182> "Poppo!"
<0183> "Poppopo!"
<0184> "Oh... Têm duas Poppos."
<0185> "Ela tinha uma irmã gêmea?"
<0186> "Ela pode ter se dividido em dois!"
<0187> "Um pode ser falso."
<0188> "Talvez ela seja uma criatura produzida em massa."
<0189> "Aru!"
