
<0000> "Yuki, devolva meu pudim!"
<0001> "Kukuku... Se você quer tanto assim de volta, mostre-me do que você é capaz!"
<0002> "Então eu não vou hesitar!!"
<0003> "Que lamentável... duas pessoas lutando por doces."
<0004> "Fue!? Quem é você!?"
<0005> "Eu sou Sweet Breaker, um dos seis deuses dos doces."
<0006> "Lutar não te levará a lugar algum... Vocês duas devem acabar com essa confusão desnecessária."
<0007> "Eeeei! Sweet Breaker! Essas duas só estão brincando uma com a outra. Você não precisa se intrometer."
<0008> "Aí vem outra esquisitona."
<0009> "Quem diabos você pensa estar chamando de esquisita!?"
<0010> "Não sei quem é você, mas por favor não se intrometa! Meu pudim está em um aperto."
<0011> "Ela está certa. Só estou brincando com ela, então nos deixe a sós."
<0012> "Isto não é brincadeira! Isso é uma batalha!"
<0013> "Vocês duas são bastante tolas... se insistem em fazer isso, vou parar as duas."
<0014> "Kyuuu."
<0015> "Gugu..."
<0016> "Agora este conflito acabou."
<0017> "A-ainda não..."
<0018> "Por que você ainda quer lutar?"
<0019> "Por que meu pudim... meu precioso pudim..."
<0020> "Muito bem... se deseja tanto assim por pudim, eu te darei um pouco."
<0021> "Sério! Você vai me dar pudim!?"
<0022> "Sim. Eu sou Sweet Breaker, a adiministradora de todos os doces existentes."
<0023> "Aqui, pegue isso. É um dos pudins que eu recomendo."
<0024> "Uou!! Parece ser tão delicioso."
<0025> "Ufa, parece que está solucionado agora."
<0026> "Ainda não acabou, Tomomo."
<0027> "O que?"
<0028> "Eu vejo muitos problemas acontecendo ao redor do mundo."
<0029> "Bem, esse mundo foi criado para batalha em jogos de tabuleiro, de todo modo."
<0030> "Como eu disse anteriormente, lutar não leva a lugar algum... Nós iremos lá e acabaremos com todas essas disputas."
<0031> "O quê? Espere um segundo. Isso vai arruinar todo o propósito desse mundo..."
<0032> "Não acha que já é o suficiente, Irmão?"
<0033> "Qual é o problema, Kyoko? O que está te desconcentrando tanto assim?"
<0034> "Estou pedindo para parar de se despir todo o tempo. Você não sente vergonha ao fazer isso na frente de outros!?"
<0035> "Que rude. Eu realmente fico envergonhado."
<0036> "Então coloque suas roupas de volta..."
<0037> "Mas esta vergonha me faz sentir extremamente bem. Por isso, eu tiro minhas roupas."
<0038> "Um completo anormal... talvez acabando com a vida dele agora seja a única solução... Tão irritante."
<0039> "Espere só um pouco."
<0040> "Sim...?"
<0041> "É triste ver familiares lutando um contra o outro. Vocês devem acabar com isso já."
<0042> "Só fique fora disso, está bem? É assunto de família."
<0043> "É isso mesmo. É assim que nos comunicamos. Por favor não nos incomode."
<0044> "Eu sabia. Somente palavras não podem parar lutas..."
<0045> "Eu acho que elas podem. Bem, você também não é tão boa com as palavras, Sweebo..."
<0046> "Eu vou acabar com essa batalha fraterna."
<0047> "Droga..."
<0048> "Caramba, como ela é durona."
<0049> "Vocês dois aprenderam a lição. Não pensem mais em lutar entre si."
<0050> "Foi uma maneira bem agressiva de solucionar as coisas..."
<0051> "Hahaha! Lute comigo, Barril Vermelho!"
<0052> "Corvo Azul, isso de novo não. Me deixe em paz."
<0053> "Fale o que quiser! Vou ficar voando por aqui até você ouvir o que eu tenho para dizer!"
<0054> "Como assim? Você faz soar que eu sou alguém que não escuta os outros."
<0055> "É exatamente o que você é!"
<0056> "Uma batalha entre dois aviões... Uma cena diretamente de uma guerra."
<0057> "Caramba, aquela garota está voando!?"
<0058> "O que é isso? Outro esquema por aquele cientista velho!?"
<0059> "Esta luta também será acabada por mim, Sweet Breaker."
<0060> "Você realmente está se divertindo com isso, Sweebo..."
<0061> "Aii, isso dói..."
<0062> "Droga... Por que eu tive que ser derrotado por aquela esquisita? Isso é pior do que perder para a Barril Vermelho..."
<0063> "Agora, vocês dois irão fazer as pazes e parar de lutar."
<0064> "Nunca irá acontecer. Não vou parar de desafiá-la até derrotar ela."
<0065> "Você é tão idiota, Corvo Azul..."
<0066> "Você ainda não aprendeu sua lição?"
<0067> "Não não, espere. Esses dois estão resolvendo isso da sua própria maneira. Se você continuar, só irá complicar mais as coisas."
<0068> "N-não fale como se eu fosse inútil."
<0069> "Mais importante, parece que uma grande luta vai se desenvolver aqui perto."
<0070> "O quê...!?"
<0071> "Hime... Seja honesta comigo."
<0072> "Imagino o que está te deixando tão nervosa, Sora."
<0073> "O pudim que eu iria comer mais tarde... Você o comeu, não foi?"
<0074> "Oh céus, você descobriu?"
<0075> "O copo vazio tinha seu cheiro."
<0076> "Impressionante. Igual a um pequeno cachorrinho."
<0077> "Não sou um cachorrinho."
<0078> "Fufufu. Minhas desculpas pelo seu pudim. Mesmo assim, foi inevitável."
<0079> "Você tem alguma razão por ter feito isso?"
<0080> "Eu não pude parar."
<0081> "Minha colher simplesmente não conseguia parar."
<0082> "...Você realmente acha que isso se qualifica como uma boa razão?"
<0083> "..."
<0084> "..."
<0085> "Não?"
<0086> "Não."
<0087> "Punição?"
<0088> "Punição."
<0089> "Seria..."
<0090> "Um raio laser incrivelmente quente..."
<0091> "Nããão! Por favor, tudo menos isso!"
<0092> "50ºC Então."
<0093> "É um grau devidamente esquentado!"
<0094> "Mais uma luta desnecessária está prestes a começar...! Eu preciso pará-la!"
<0095> "Q-Qual o seu problema...?"
<0096> "Você é o herói que deu um fim na guerra não é? Por que você está lutando agora?"
<0097> "Por que meu pudim foi..."
<0098> "Pudim... Ele causou mais um conflito."
<0099> "Hmm? O que está acontecendo, Sweebo?"
<0100> "Esse apelido já vem me incomodando desde o início. Por favor pare com isso."
<0101> "Eeeh."
<0102> "De todo modo... pudim foi a causa do primeiro confronto que eu vi hoje... E aconteceu aqui de novo."
<0103> "Talvez pudim seja um doce que convida problemas...?"
<0104> "O quê? Espere um momento, Sweet Breaker. Você não vai..."
<0105> "Se realmente for esse o caso... Eu, Sweet Breaker, irei selar o pudim."
<0106> "Eu vou selar o pudim."
<0107> "Espere um segundo! Eu sou uma grande fã de pudim também! Simplesmente não posso deixar você fazer isso!"
<0108> "Entendo... Você irá tentar me parar? Tomomo, um dos seis deuses dos doces, Devoradora de Doces."
<0109> "Você é um deus dos doces mais poderoso do que eu. Não conseguirei sozinha..."
<0110> "Então!"
<0111> "Ta-da! Saki está aqui para salvar o pudim."
<0112> "Saki.. a Fabricante de Doces...!"
<0113> "Deus dos doces! Aprecio o pudim de antes. Por causa dele, eu tenho poderes especiais agora!"
<0114> "Eu vou usar esse poder para salvar o pudim."
<0115> "Então meu pudim divino te despertou... QP, a Guardiã dos Doces!"
<0116> "Agora três de seis deuses dos doces estão contra você. Até você deve ter dificuldades agora."
<0117> "Eu sou Sweet Breaker. O deus responsável pela ordem dos doces... Não importa se deuses estiverem em meu caminho, vou seguir o meu dever."
<0118> "Uma grande derrota."
<0119> "Ukyuuu..."
<0120> "Não pode ser... Até nós três não tivemos chance."
<0121> "Agora... está na hora de selar o pudim... O quê...!?"
<0122> "...Sweet Breaker?"
<0123> "Sinto um conflito terrivelmente feroz... E muito mais perigoso do que todos até agora...!!"
<0124> "Fuhahahahaha! Eu sou Star Breaker, o fusível aceso deste planeta!!"
<0125> "Star Breaker... Que aura maligna."
<0126> "Hahahaha! Queime! Queime! Estou incinerando tudo!"
<0127> "Por favor explique, Tomomo. Por que você trouxe alguém tão perigoso até aqui?"
<0128> "Bem, eu meio que pensei que seria divertido ter alguém maluco assim."
<0129> "Pelo amor de deus. se deixarmos ela sozinha, ela vai incinerar esse mundo por completo."
<0130> "Você está certa. Precisamos pará-la. Poppo, vamos lá!"
<0131> "Poppo!"
<0132> "Oh, vocês vieram para ser cozinhados?"
<0133> "Você devia cozinhar doces no lugar. Eu Sweet Breaker, irei pará-la."
<0134> "Haah, haah... Isto é divertido..."
<0135> "Guh... Ela ainda pode se mover depois de tudo isso?"
<0136> "Ela realmente é durona..."
<0137> "Mas estou com fome agora... consigo sentir o cheiro de algo bom..."
<0138> "Um cheiro bom... É, você está certa."
<0139> "Ah... o pudim que eu ia selar... Ficou bem cozinhado agora."
<0140> "Sério!?"
<0141> "*Encarando*"
<0142> "Você parece bem tentada a comer este pudim."
<0143> "Estou com fome."
<0144> "Certo. Não posso negar um doce para quem está pedindo... Aqui, tome."
<0145> "*Morde*... É delicioso..."
<0146> "Sério. Por que você precisa lutar quando você cozinha pudim tão bem...?"
<0147> "Cozinhar pudim...? Fui eu que fiz isso?"
<0148> "Sim. Você cozinhou esse pudim na batalha que tivemos."
<0149> "É mesmo..."
<0150> "O que foi?"
<0151> "*Morde*... *Mastiga* *Mastiga*."
<0152> "É muito delicioso. Eu quero cozinhar mais... Eu quero cozinhar mais doces deliciosos."
