
<0000> "É natal! <player>!"
<0001> "Crianças de todo o mundo estão ansiosas esperando por seus presentes."
<0002> "Deu bastante trabalho preparar tudo, mas ver os sorrisos tão aconchegantes faz tudo valer a pena."
<0003> "Mas é claro que você vai ganhar um presente também, aqui, escolha qualquer um."
<0004> "Prontinho! Gostou?"
<0005> "Espere... Está vazio!"
<0006> "Hmm... Talvez você tenha sido uma criança malvada?"
<0007> "Não, espere, todas estão vazias! Os presentes desapareceram!"
<0008> "Tem um pequeno recado aqui... O que ele diz?"
<0009> < Cortesia de abdução de presentes pela WARUDA\nP.S. Papai noel é um bobão >
<0010> "...Waah!!! São esses garotos malvados novamente!?"
<0011> "...Hm? O que está acontecendo, Aru?"
<0012> "Rein! Todos os presentes foram roubados! Pode farejá-los para saber para onde foram?"
<0013> "Deixe-me tentar."
<0014> *Fareja fareja*
<0015> "Achei! Tem um rastro que pode nos levar até eles!"
<0016> "Certo! Vamos pegar os presentes de volta!"
<0017> "<player>, espero que não se importe em nos ajudar. Juntos nós salvaremos o natal!"
<0018> "Grandes notícias, <player>! Nós achamos o esconderijo dos Warudas!"
<0019> "Vamos pegar os presentes de volta!"
<0020> "O esconderijo deve ser por aqui perto..."
<0021> "Não há dúvidas, estamos realmente perto."
<0022> "Olha, lá estão eles!"
<0023> "Minha nossa, Papai noel está aqui!"
<0024> "Heh, demorou muito."
<0025> "Bem vindo a festa, Papai noel! Você está livre para juntar-se a nós, mas vamos ficar com os presentes."
<0026> "De jeito nenhum! Os presentes não são para vocês. Eles pertencem a todas as crianças do mundo."
<0027> "É aí em que você se engana. Por que nesse ano..."
<0028> "...só as crianças malvadas ganham presentes!"
<0029> "Sim, e somos nós!"
<0030> "Festa de presentes para nós!"
<0031> "Não é assim que funciona! Devolva-me os presentes!"
<0032> "Aru, tente se acalmar um pouco. Se nós explicarmos a situação direitinho, talvez podemos resolver isso pacificamente."
<0033> "Você está certo, Rein. ...Certo, tenho isto sobre controle."
<0034> "Diz o Papai Noel que perdeu todos os presentes e nem percebeu."
<0035> "Você é uma místura de burro e estúpido. Realmente não tem jeito."
<0036> "Estúuuupido!"
<0037> "Kuh..."
<0038> "O gato comeu sua língua? Eu tenho um ótimo remédio para isso."
<0039> "Isso seria um desperdício. Esse Papai Noel aqui é só um grande idiota. Nenhum remédio irá curar o nível de idiotice dele."
<0040> "Certo, já estou sem paciência! Está na hora do Papai Noel aqui ensiná-los sobre espírito natalino!"
<0041> "...Acabou virando uma batalha."
<0042> "Droga, que derrota humilhante..."
<0043> "Derrotada pelo coelho novamente..."
<0044> "Esse coelhinho vermelho é tão voraz... Assustador..."
<0045> "São somente minhas roupas que são vermelhas! ...E isso não vale para você também?!"
<0046> "De qualquer jeito, fico feliz que os presentes estejam seguros."
<0047> "Tanto faz. Pegue-os de volta, eu não ligo mais."
<0048> "M-mas chefe! Não vamos ter mais nenhum presente!"
<0049> "Nada de festa de presentes para nós!"
<0050> "Foi algo muito ruim vocês terem os roubado..."
<0051> "Mas sabe, eu também tenho presentes para vocês!"
<0052> "Eeeh!?"
<0053> "Você é Yuki, certo? Isto é por ter ajudado um amigo."
<0054> "N-não é como se eu quisesse algo..."
<0055> "Tomato e Mimyuu, por cuidar uma da outra."
<0056> "Nós somos amigos bem próximos! Você tem certeza de que podemos ficar com isso?"
<0057> "Obaa, ganhei um presente! *buum*"
<0058> "E Kiriko, como desculpas por suspeitar de você antes..."
<0059> "Espero que seja medicina perigosa!"
<0060> "D-de qualquer jeito, também tenho um presente para a Krilalaris, ela está aqui?"
<0061> "Ela provávelmente está no circo."
<0062> "Eu irei entregá-lo!"
<0063> "Certo, mas... por favor não falhe!"
<0064> "Já foram todos os presentes... Espero que vocês sejam bonzinhos de agora em diante!"
<0065> "Ho-ho-ho! Desejo para vocês um feliz natal!"
<0066> "Ufa... Eles realmente são bastante malvadinhos, ano após ano."
<0067> "Mas tudo que é bom acaba bom."
<0068> "Muito obrigado por me ajudar a salvar o natal, <player>! Aqui, este presente é para você."
<0069> "Preciso me apressar para entregar os outros agora..."
<0070> "Todas as crianças estão ansiosas pelos seus presentes... E tenho um amigo que quero visitar."
<0071> "Preciso de toda a ajuda para entregá-los, então espero que me ajude também."
<0072> "Certo! Velocidade máxima!"
<0073> "Juntos protegeremos os sorrisos de todas as crianças do mundo!"

