
<0000> "La La La Laaan."
<0001> "Vou ter pudim como lanche hoje."
<0002> "Amanhã, depois de amanhã, todo dia."
<0003> "Popoooh."
<0004> "*Co-co-co-corre*!"
<0005> "Ei, espere!"
<0006> "*Co-co-co-corre*!"
<0007> "O-o que está acontecendo?"
<0008> "Po!?"
<0009> "Poppo!"
<0010> "Uma criatura estranha?"
<0011> "Ei, você aí! Garota Cachorro! Pegue aquela garota!"
<0012> "O quê? O quê?"
<0013> "Poooou!"
<0014> "*Pega*!"
<0015> "Ah não!"
<0016> "Poppo pegou pudim!"
<0017> "M-meu pudim!!"
<0018> "Poppo vai comer!"
<0019> "Nããããão!"
<0020> "Não vou deixar!"
<0021> "Popoo!"
<0022> "Me devolva o meu pudim!"
<0023> "Negativo, Poppo!"
<0024> "Parece que tem algo divertido acontecendo."
<0025> "Não tenho tempo para você, Yuki."
<0026> "Volte mais tarde."
<0027> "O-ok..."
<0028> "Aquela QP, quem diabos ela pensa que é..."
<0029> "O que você está fazendo, garota cachorro? Poppo está indo em sua direção!"
<0030> "Entendido!"
<0031> "Poppo!"
<0032> "Ta-da! Vitória!"
<0033> "Poppo perdeu."
<0034> "Ela fica absurdamente forte quando se trata de pudim."
<0035> "De qualquer jeito, está na hora de pegar nossas coisas de volta."
<0036> "Exatamente! Meu pudim!"
<0037> "Não, Poppo!"
<0038> "O que foi que você disse!"
<0039> "Poppo vai fugir!"
<0040> "Aaaaaah!"
<0041> "Bem, de todo modo..."
<0042> "O que ela roubou de você, Kai?"
<0043> "Minha carteira."
<0044> "Ai."
<0045> "Todas as minhas cartas e dinheiro estão dentro dela!"
<0046> "É uma situação de vida ou morte."
<0047> "Nós definitivamente vamos recuperá-la, então."
<0048> "É."
<0049> "Enfim, para onde a Poppo foi?"
<0050> "Poppo!"
<0051> "Acabei de ouvir ela gritar!"
<0052> "Popoo!"
<0053> "Olha! Ela está ali! Naquele avião estacionado!"
<0054> "Parece que está preparado para decolar!"
<0055> "Por que eu tenho que dar uma carona para alguém como você...?"
<0056> "Se apresse, Poppo."
<0057> "Tá bom, tá bom."
<0058> "Ah! Corvo Azul!"
<0059> "Po?"
<0060> "Barril Vermelho?"
<0061> "Você não pode deixar uma garotinha assim no seu avião! E se acontecer algo perigoso?"
<0062> "Bem, eu posso explicar isso."
<0063> "Voa logo, Poppo!"
<0064> "E você! Desca aqui agora! O avião não é um brinquedo."
<0065> "Não, Poppo."
<0066> "Agora seria uma boa hora."
<0067> "Sim!"
<0068> "Se prepare, Poppo!!"
<0069> "Eh? Eh?"
<0070> "Poppo não acha!"
<0071> "Ta-da! Vencemos!"
<0072> "Poppo perdeu..."
<0073> "Eu perdi..."
<0074> "Saia do avião agora."
<0075> "Ok, Poppo."
<0076> "Ela obedeceu desta vez."
<0077> "E agora devolva o meu pudim!"
<0078> "Não, Poppo."
<0079> "Sua pequena... Certo, que seja assim então!"
<0080> "Não! Não a machuquem!"
<0081> "Por que não!?"
<0082> "Se não o míssil vai explodir."
<0083> "Que míssil?"
<0084> "Ta-da!"
<0085> "Meu deus!"
<0086> "Aquele é o míssil do... Barril Vermelho?"
